publisher,genres,release_date,tags,price,early_access,id,developer
Concepts,"['Action', 'Adventure', 'Indie']",2017-11-20,"['Action', 'Adventure', 'Indie', 'Gore']",7.99,0.0,648550.0,"Olympic,SP"
UroboroStudio,"['Action', 'Indie', 'RPG']",2017-02-03,"['Action', 'RPG', 'Indie']",4.99,0.0,562090.0,UroboroStudio
Degica,"['Design &amp; Illustration', 'Web Publishing']",2017-06-20,"['Design & Illustration', 'Web Publishing']",14.99,0.0,653724.0,Bittersweet Entertainment
NIKITA ONLINE,['Free to Play'],2016-04-27,"['Free to Play', 'Hidden Object']",,0.0,436160.0,NIKITA ONLINE
"PopCap Games, Inc.",['Strategy'],2009-05-05,"['Tower Defense', 'Zombies', 'Strategy', 'Casual', 'Singleplayer', 'Comedy', 'Family Friendly', '2D', 'Puzzle', 'Indie', 'Cute', 'Great Soundtrack', 'Funny', 'Survival', 'Classic', 'Tactical', 'Touch-Friendly', 'Adventure', 'Post-apocalyptic', 'Action']",4.99,0.0,3590.0,"PopCap Games, Inc."
"KOEI TECMO GAMES CO., LTD.",['Action'],2015-03-30,['Action'],24.99,0.0,352150.0,"Team NINJA,KOEI TECMO GAMES CO., LTD."
"Arcen Games, LLC","['Indie', 'Strategy']",2013-06-17,"['Strategy', 'Indie']",4.99,0.0,238950.0,"Arcen Games, LLC"
Fluik Entertainment Inc,"['Adventure', 'Casual', 'Indie']",2016-06-01,"['Adventure', 'Indie', 'Casual', 'Point & Click', 'Singleplayer', 'Silent Protagonist']",4.99,0.0,431850.0,Fluik Entertainment Inc
Artifex Mundi,"['Adventure', 'Casual']",2017-08-10,"['Adventure', 'Casual', 'Hidden Object', 'Female Protagonist', 'Point & Click', 'Fantasy', 'Story Rich', 'Puzzle', 'Singleplayer', 'Indie', 'Great Soundtrack', 'Atmospheric', 'Mystery', 'Family Friendly', '2D', 'Horror']",9.99,0.0,657040.0,Sunward Games
SQUARE ENIX LTD,['RPG'],2016-07-19,['RPG'],14.99,0.0,501040.0,Tokyo RPG Factory
KISS ltd,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",2016-09-09,"['Strategy', 'Free to Play', 'Indie', 'Casual', 'Simulation', 'Sports']",3.99,0.0,480593.0,DL Softworks
"PQube Limited, SONNORI Corp","['Action', 'Adventure', 'Indie']",2017-11-13,"['Action', 'Adventure', 'Indie']",1.99,0.0,742680.0,SONNORI Corp
"KING Art, THQ Nordic",['Strategy'],2013-11-04,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Sci-fi', 'Kickstarter', 'Indie', 'Singleplayer', 'Multiplayer', 'Hex Grid', 'Asynchronous Multiplayer']",19.99,0.0,237470.0,KING Art
Quiet River,"['Indie', 'Racing', 'Early Access']",2016-12-14,"['Early Access', 'Racing', 'Indie', 'Destruction', 'Arcade', 'Fast-Paced', 'Singleplayer', 'Difficult']",4.99,1.0,514920.0,Quiet River
"COLOPL, Inc.","['Action', 'Casual', 'Massively Multiplayer']",2016-09-15,"['Action', 'Massively Multiplayer', 'Casual']",1.99,0.0,524870.0,"COLOPL, Inc."
Caiysware,"['Action', 'Indie']",2015-09-25,"['Indie', 'Action', 'Platformer', 'Co-op', 'Multiplayer', '2D', 'Pixel Graphics', 'Local Co-Op', 'Difficult', 'Local Multiplayer', 'Level Editor', 'Fast-Paced', 'Psychedelic', 'Colorful', 'Retro', 'Great Soundtrack', 'GameMaker', 'Arcade', '4 Player Local', 'Ninja']",6.99,0.0,399140.0,Anthony Case
